$ (g_1, g_2, g_3) $ & $ \# $ & $ \mu_{0}$ & $ \mu_{1}$ & $ \mu_{2}$ & $ \mu_{3}$ & $ \mu_{4}$ & $ \mu_{5}$ & $ \eta_{10}$ & $ \eta_{21}$ & $ \eta_{32}$ & $ \eta_{43}$ & $ \eta_{54}$ & equation \\ 
 \hline 
(0,0,0) & $H_{1}$ & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & $+ \mu_{0} = 0$ \\
([5],[1],[0]) & $H_{2}$ & 0 & 0 & 0 & 0 & 0 & 1 & 1 & 0 & 0 & 0 & 0 & $+ \mu_{5} + \eta_{10} = 0$ \\
([4],[2],[0]) & $H_{3}$ & 0 & 0 & 0 & 0 & 1 & 0 & 1 & 1 & 0 & 0 & 0 & $+ \mu_{4} + \eta_{10} + \eta_{21} = 0$ \\
([3],[3],[0]) & $H_{4}$ & 0 & 0 & 0 & 1 & 0 & 0 & 1 & 1 & 1 & 0 & 0 & $+ \mu_{3} + \eta_{10} + \eta_{21} + \eta_{32} = 0$ \\
([2],[4],[0]) & $H_{5}$ & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 1 & 1 & 1 & 0 & $+ \mu_{2} + \eta_{10} + \eta_{21} + \eta_{32} + \eta_{43} = 0$ \\
([1],[5],[0]) & $H_{6}$ & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 1 & 1 & 1 & 1 & $+ \mu_{1} + \eta_{10} + \eta_{21} + \eta_{32} + \eta_{43} + \eta_{54} = 0$ \\
([5],[0],[1]) & $H_{7}$ & 0 & 0 & 0 & 0 & 0 & 1 & -1 & -1 & -1 & -1 & -1 & $+ \mu_{5} - \eta_{10} - \eta_{21} - \eta_{32} - \eta_{43} - \eta_{54} = 0$ \\
([4],[1],[1]) & $H_{8}$ & 0 & 0 & 0 & 0 & 1 & 0 & 0 & -1 & -1 & -1 & -1 & $+ \mu_{4} - \eta_{21} - \eta_{32} - \eta_{43} - \eta_{54} = 0$ \\
([3],[2],[1]) & $H_{9}$ & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & -1 & -1 & -1 & $+ \mu_{3} - \eta_{32} - \eta_{43} - \eta_{54} = 0$ \\
([2],[3],[1]) & $H_{10}$ & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & -1 & -1 & $+ \mu_{2} - \eta_{43} - \eta_{54} = 0$ \\
([1],[4],[1]) & $H_{11}$ & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & -1 & $+ \mu_{1} - \eta_{54} = 0$ \\
([4],[0],[2]) & $H_{12}$ & 0 & 0 & 0 & 0 & 1 & 0 & -1 & -1 & -1 & -1 & 0 & $+ \mu_{4} - \eta_{10} - \eta_{21} - \eta_{32} - \eta_{43} = 0$ \\
([3],[1],[2]) & $H_{13}$ & 0 & 0 & 0 & 1 & 0 & 0 & 0 & -1 & -1 & -1 & 0 & $+ \mu_{3} - \eta_{21} - \eta_{32} - \eta_{43} = 0$ \\
([2],[2],[2]) & $H_{14}$ & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 0 & -1 & -1 & 0 & $+ \mu_{2} - \eta_{32} - \eta_{43} = 0$ \\
([1],[3],[2]) & $H_{15}$ & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & -1 & 0 & $+ \mu_{1} - \eta_{43} = 0$ \\
([5],[5],[2]) & $H_{16}$ & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & $+ \mu_{5} + \eta_{54} = 0$ \\
([3],[0],[3]) & $H_{17}$ & 0 & 0 & 0 & 1 & 0 & 0 & -1 & -1 & -1 & 0 & 0 & $+ \mu_{3} - \eta_{10} - \eta_{21} - \eta_{32} = 0$ \\
([2],[1],[3]) & $H_{18}$ & 0 & 0 & 1 & 0 & 0 & 0 & 0 & -1 & -1 & 0 & 0 & $+ \mu_{2} - \eta_{21} - \eta_{32} = 0$ \\
([1],[2],[3]) & $H_{19}$ & 0 & 1 & 0 & 0 & 0 & 0 & 0 & 0 & -1 & 0 & 0 & $+ \mu_{1} - \eta_{32} = 0$ \\
([5],[4],[3]) & $H_{20}$ & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 1 & 0 & $+ \mu_{5} + \eta_{43} = 0$ \\
([4],[5],[3]) & $H_{21}$ & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 0 & 0 & 1 & 1 & $+ \mu_{4} + \eta_{43} + \eta_{54} = 0$ \\
([2],[0],[4]) & $H_{22}$ & 0 & 0 & 1 & 0 & 0 & 0 & -1 & -1 & 0 & 0 & 0 & $+ \mu_{2} - \eta_{10} - \eta_{21} = 0$ \\
([1],[1],[4]) & $H_{23}$ & 0 & 1 & 0 & 0 & 0 & 0 & 0 & -1 & 0 & 0 & 0 & $+ \mu_{1} - \eta_{21} = 0$ \\
([5],[3],[4]) & $H_{24}$ & 0 & 0 & 0 & 0 & 0 & 1 & 0 & 0 & 1 & 0 & 0 & $+ \mu_{5} + \eta_{32} = 0$ \\
